step,avg_reward
0,0.30000001192092896
1,0.30000001192092896
2,0.30000001192092896
3,0.30000001192092896
4,0.30000001192092896
5,0.30000001192092896
6,0.30000001192092896
7,0.20000000298023224
8,0.30000001192092896
9,0.30000001192092896
10,0.30000001192092896
11,0.30000001192092896
12,0.30000001192092896
13,0.30000001192092896
14,0.20000000298023224
15,0.30000001192092896
16,0.20000000298023224
17,0.30000001192092896
18,0.30000001192092896
19,0.30000001192092896
20,0.30000001192092896
21,0.753333330154419
22,0.8241666555404663
23,0.30000001192092896
24,0.30000001192092896
25,0.30000001192092896
26,0.30000001192092896
27,0.8949999809265137
28,0.30000001192092896
29,0.8366666436195374
30,0.30000001192092896
